dateTime,country,profile,age,gender,referral,pageviews,purchased,purchaseAmount
2014-09-05 10:47,United States,Health Professional,35-44,Female,Direct,6,0,0
2014-08-25 13:42,United States,Health Professional,35-44,Female,Email,3,0,0
2014-08-11 22:02,United States,Health Professional,35-44,Female,Social,5,0,0
2014-08-27 17:58,United States,Health Professional,35-44,Female,Social,2,0,0
2014-07-28 09:48,United States,Health Professional,35-44,Female,Unbranded Search,10,0,0
2014-08-04 13:42,United States,Health Professional,35-44,Female,Unbranded Search,10,1,91.4
2014-08-13 00:07,United States,Health Professional,35-44,Female,Unbranded Search,12,0,0
2014-08-22 14:45,United States,Health Professional,35-44,Female,Unbranded Search,3,0,0
2014-08-23 09:15,United States,Health Professional,35-44,Female,Unbranded Search,6,0,0
2014-08-25 23:17,United States,Health Professional,35-44,Female,Unbranded Search,6,0,0
2014-08-27 04:02,United States,Health Professional,35-44,Female,Unbranded Search,11,0,0
2014-09-02 15:45,United States,Health Professional,35-44,Female,Unbranded Search,1,0,0
2014-09-02 16:00,United States,Health Professional,35-44,Female,Unbranded Search,11,0,0
2014-09-04 15:52,United States,Health Professional,35-44,Female,Unbranded Search,3,0,0
2014-09-07 13:35,United States,Health Professional,35-44,Female,Unbranded Search,4,0,0
2014-09-08 21:07,United States,Health Professional,35-44,Female,Unbranded Search,11,0,0
2014-09-09 11:14,United States,Health Professional,35-44,Female,Unbranded Search,8,0,0
2014-09-10 14:32,United States,Health Professional,35-44,Female,Unbranded Search,7,0,0
2014-08-06 11:55,United States,Health Professional,45-54,Female,Branded Search,4,0,0
2014-07-29 22:18,United States,Health Professional,45-54,Female,Direct,4,0,0
2014-07-30 10:43,United States,Health Professional,45-54,Female,Direct,10,0,0
2014-08-05 19:00,United States,Health Professional,45-54,Female,Direct,9,0,0
2014-08-08 09:50,Ireland,Health Professional,45-54,Female,Direct,12,0,0
2014-08-12 00:06,United States,Health Professional,45-54,Female,Direct,10,1,61.72
2014-08-13 08:59,United States,Health Professional,45-54,Female,Direct,8,0,0
2014-08-13 10:17,United States,Health Professional,45-54,Female,Direct,11,0,0
2014-08-13 11:25,United States,Health Professional,45-54,Female,Direct,4,0,0
2014-08-13 15:05,United States,Health Professional,45-54,Female,Direct,1,0,0
2014-08-26 16:44,United States,Health Professional,45-54,Female,Direct,3,0,0
2014-08-27 17:02,United States,Health Professional,45-54,Female,Direct,7,0,0
2014-09-02 15:51,New Zealand,Health Professional,45-54,Female,Direct,3,0,0
2014-09-02 17:12,United States,Health Professional,45-54,Female,Direct,5,0,0
2014-08-13 21:24,Puerto Rico,Health Professional,45-54,Female,Email,10,0,0
2014-07-31 01:08,United States,Health Professional,45-54,Female,Referred,9,0,0
2014-08-15 08:15,United States,Health Professional,45-54,Female,Self Referred,3,0,0
2014-08-02 09:25,United States,Health Professional,45-54,Female,Social,1,0,0
2014-08-12 22:03,United States,Health Professional,45-54,Female,Social,3,0,0
2014-07-28 21:35,United States,Health Professional,45-54,Female,Unbranded Search,12,0,0
2014-08-02 19:53,United States,Health Professional,45-54,Female,Unbranded Search,12,0,0
2014-08-05 09:16,United States,Health Professional,45-54,Female,Unbranded Search,6,0,0
2014-08-07 11:33,United States,Health Professional,45-54,Female,Unbranded Search,10,0,0
2014-08-11 22:26,United States,Health Professional,45-54,Female,Unbranded Search,3,0,0
2014-08-15 11:08,United States,Health Professional,45-54,Female,Unbranded Search,2,0,0
2014-08-18 20:25,United States,Health Professional,45-54,Female,Unbranded Search,4,0,0
2014-08-19 15:49,United States,Health Professional,45-54,Female,Unbranded Search,10,0,0
2014-08-24 12:16,United States,Health Professional,45-54,Female,Unbranded Search,3,0,0
2014-08-27 20:36,United States,Health Professional,45-54,Female,Unbranded Search,11,1,124.93
2014-09-03 12:24,United States,Health Professional,45-54,Female,Unbranded Search,11,0,0
2014-09-03 15:45,United States,Health Professional,45-54,Female,Unbranded Search,5,0,0
2014-09-03 16:01,United States,Health Professional,45-54,Female,Unbranded Search,12,0,0
2014-09-10 13:47,United States,Health Professional,45-54,Female,Unbranded Search,3,0,0
2014-09-10 16:55,United States,Health Professional,45-54,Female,Unbranded Search,12,0,0
2014-07-26 05:07,Kuwait,Health Professional,55-64,Female,Direct,12,0,0
2014-07-29 00:13,United States,Health Professional,55-64,Female,Direct,2,0,0
2014-07-29 13:47,United States,Health Professional,55-64,Female,Direct,2,0,0
2014-07-29 23:00,United States,Health Professional,55-64,Female,Direct,8,0,0
2014-07-30 09:36,United States,Health Professional,55-64,Female,Direct,2,0,0
2014-07-31 13:45,United States,Health Professional,55-64,Female,Direct,3,0,0
2014-08-04 20:10,United States,Health Professional,55-64,Female,Direct,7,0,0
2014-08-13 08:09,United States,Health Professional,55-64,Female,Direct,2,0,0
2014-08-13 18:15,United States,Health Professional,55-64,Female,Direct,3,0,0
2014-08-18 11:43,United States,Health Professional,55-64,Female,Direct,4,0,0
2014-08-22 19:18,United States,Health Professional,55-64,Female,Direct,4,0,0
2014-08-25 16:44,United States,Health Professional,55-64,Female,Direct,3,0,0
2014-09-02 19:48,United States,Health Professional,55-64,Female,Direct,7,0,0
2014-09-04 17:13,United States,Health Professional,55-64,Female,Direct,3,0,0
2014-09-06 14:06,United States,Health Professional,55-64,Female,Direct,11,1,62.5
2014-09-08 18:40,United States,Health Professional,55-64,Female,Direct,12,0,0
2014-09-08 23:32,United States,Health Professional,55-64,Female,Direct,5,0,0
2014-09-10 19:07,United States,Health Professional,55-64,Female,Direct,5,0,0
2014-08-19 08:48,United States,Health Professional,55-64,Female,Referred,1,0,0
2014-08-14 14:16,United States,Health Professional,55-64,Female,Social,3,0,0
2014-08-15 19:27,United States,Health Professional,55-64,Female,Social,2,0,0
2014-08-10 17:14,United States,Health Professional,55-64,Female,Unbranded Search,10,0,0
2014-08-18 19:09,Panama,Health Professional,55-64,Female,Unbranded Search,6,0,0
2014-08-20 07:21,United States,Health Professional,55-64,Female,Unbranded Search,6,0,0
2014-08-20 17:01,United States,Health Professional,55-64,Female,Unbranded Search,5,0,0
2014-08-22 15:07,United States,Health Professional,55-64,Female,Unbranded Search,12,0,0
2014-09-05 16:37,United States,Health Professional,55-64,Female,Unbranded Search,7,0,0
2014-09-06 08:35,United States,Health Professional,55-64,Female,Unbranded Search,3,0,0
2014-08-01 12:06,United States,Health Professional,65 or older,Female,Direct,11,1,112.47
2014-08-05 10:56,United States,Health Professional,65 or older,Female,Unbranded Search,8,0,0
2014-09-04 13:56,United States,Health Professional,65 or older,Female,Unbranded Search,3,0,0
2014-09-09 06:50,United Arab Emirates,Health Professional,Less than 18,Female,Direct,2,0,0
2014-09-04 06:36,United States,Health Professional,25-34,Female,Unbranded Search,4,0,0
2014-08-27 13:18,United States,Health Professional,55-64,Female,Unbranded Search,4,0,0
2014-08-01 14:21,United States,Health Professional,25-34,Male,Direct,10,0,0
2014-09-01 13:42,United States,Health Professional,35-44,Male,Unbranded Search,10,0,0
2014-08-28 19:49,United Kingdom,Health Professional,45-54,Male,Unbranded Search,3,0,0
2014-08-25 13:26,United States,Health Professional,25-34,Female,Direct,1,0,0
2014-09-10 19:49,United States,Health Professional,35-44,Female,Direct,2,0,0
2014-08-25 10:28,Malaysia,Health Professional,35-44,Female,Self Referred,10,0,0
2014-09-03 13:02,United States,Health Professional,18-24,Female,Unbranded Search,2,0,0
2014-09-10 22:32,United States,Health Professional,35-44,NA,Direct,2,0,0
2014-08-19 14:17,United States,Health Professional,18-24,NA,Branded Search,3,0,0
2014-08-03 13:17,United States,Health Professional,25-34,NA,Branded Search,11,0,0
2014-08-08 13:41,United States,Health Professional,35-44,NA,Branded Search,6,0,0
2014-08-19 15:21,United States,Health Professional,45-54,NA,Branded Search,8,0,0
2014-08-21 09:21,United States,Health Professional,55-64,NA,Branded Search,4,0,0
2014-08-22 11:43,United States,Health Professional,18-24,NA,Branded Search,3,0,0
2014-08-27 11:12,United States,Health Professional,25-34,NA,Branded Search,5,0,0
2014-09-02 12:47,United States,Health Professional,35-44,NA,Branded Search,12,0,0
2014-09-02 17:12,United States,Health Professional,45-54,NA,Branded Search,5,0,0
2014-09-04 14:46,Canada,Health Professional,55-64,NA,Branded Search,4,0,0
2014-09-08 11:02,United States,Health Professional,18-24,NA,Branded Search,11,0,0
2014-09-09 14:30,United States,Health Professional,25-34,NA,Branded Search,10,0,0
2014-07-29 16:09,United States,Health Professional,18-24,NA,Direct,5,0,0
2014-07-29 22:05,United States,Health Professional,25-34,NA,Direct,11,0,0
2014-07-30 14:43,United States,Health Professional,35-44,NA,Direct,2,0,0
2014-07-30 17:21,United States,Health Professional,45-54,NA,Direct,1,0,0
2014-07-30 20:34,United States,Health Professional,55-64,NA,Direct,7,0,0
2014-07-30 21:35,United States,Health Professional,18-24,NA,Direct,11,0,0
2014-07-31 15:45,United States,Health Professional,25-34,NA,Direct,1,0,0
2014-08-03 17:12,United States,Health Professional,35-44,NA,Direct,12,0,0
2014-08-07 12:02,United States,Health Professional,45-54,NA,Direct,3,0,0
2014-08-09 21:27,Nigeria,Health Professional,55-64,NA,Direct,2,0,0
2014-08-13 14:01,United States,Health Professional,18-24,NA,Direct,3,0,0
2014-08-13 15:36,United States,Health Professional,25-34,NA,Direct,2,0,0
2014-08-14 16:00,United States,Health Professional,35-44,NA,Direct,2,0,0
2014-08-14 21:25,United States,Health Professional,45-54,NA,Direct,3,0,0
2014-08-17 20:00,United States,Health Professional,55-64,NA,Direct,4,0,0
2014-08-18 21:36,United States,Health Professional,18-24,NA,Direct,10,0,0
2014-08-19 01:38,Australia,Health Professional,25-34,NA,Direct,1,0,0
2014-08-22 07:27,United States,Health Professional,35-44,NA,Direct,2,0,0
2014-08-25 15:09,United States,Health Professional,45-54,NA,Direct,8,0,0
2014-08-26 05:27,Denmark,Health Professional,55-64,NA,Direct,9,0,0
2014-08-26 10:30,United States,Health Professional,18-24,NA,Direct,5,0,0
2014-09-03 23:00,United States,Health Professional,25-34,NA,Direct,1,0,0
2014-09-06 11:44,Mexico,Health Professional,35-44,NA,Direct,3,0,0
2014-09-07 13:35,Brazil,Health Professional,45-54,NA,Direct,10,0,0
2014-09-08 14:45,United States,Health Professional,55-64,NA,Direct,12,0,0
2014-09-08 15:46,United States,Health Professional,18-24,NA,Direct,11,0,0
2014-09-08 17:04,United States,Health Professional,25-34,NA,Direct,5,0,0
2014-09-09 12:43,United States,Health Professional,35-44,NA,Direct,10,0,0
2014-09-09 13:46,United States,Health Professional,45-54,NA,Direct,6,0,0
2014-09-09 14:47,United States,Health Professional,55-64,NA,Direct,1,0,0
2014-09-10 11:47,United States,Health Professional,18-24,NA,Direct,3,0,0
2014-09-10 18:02,United States,Health Professional,25-34,NA,Direct,5,0,0
2014-09-11 11:53,United States,Health Professional,35-44,NA,Direct,5,0,0
2014-08-11 21:23,United States,Health Professional,25-34,NA,Email,1,0,0
2014-08-22 21:09,Trinidad and Tobago,Health Professional,35-44,NA,Paid Search,11,0,0
2014-08-04 15:09,United States,Health Professional,55-64,NA,Referred,3,0,0
2014-08-04 20:53,United States,Health Professional,18-24,NA,Referred,3,0,0
2014-08-05 16:13,United States,Health Professional,25-34,NA,Referred,11,0,0
2014-08-20 22:53,United States,Health Professional,35-44,NA,Referred,3,0,0
2014-08-30 12:30,Slovenia,Health Professional,45-54,NA,Referred,3,0,0
2014-09-03 16:17,United States,Health Professional,55-64,NA,Referred,12,0,0
2014-09-04 08:57,United States,Health Professional,18-24,NA,Referred,4,0,0
2014-09-05 17:27,United States,Health Professional,25-34,NA,Referred,4,0,0
2014-09-09 18:50,United States,Health Professional,35-44,NA,Referred,2,0,0
2014-07-29 07:39,United States,Health Professional,35-44,NA,Self Referred,1,0,0
2014-08-07 16:53,Portugal,Health Professional,45-54,NA,Self Referred,2,0,0
2014-08-11 19:43,United States,Health Professional,55-64,NA,Self Referred,5,0,0
2014-08-14 22:07,United States,Health Professional,18-24,NA,Self Referred,4,0,0
2014-08-27 14:47,United States,Health Professional,25-34,NA,Self Referred,12,0,0
2014-08-29 15:55,Mexico,Health Professional,35-44,NA,Self Referred,11,0,0
2014-09-05 18:21,United States,Health Professional,45-54,NA,Self Referred,2,0,0
2014-09-09 14:21,United States,Health Professional,55-64,NA,Self Referred,1,0,0
2014-09-10 21:16,United States,Health Professional,18-24,NA,Self Referred,10,0,0
2014-08-02 05:46,United Kingdom,Health Professional,55-64,NA,Social,1,0,0
2014-08-13 21:00,United States,Health Professional,18-24,NA,Social,4,0,0
2014-08-16 11:53,Puerto Rico,Health Professional,25-34,NA,Social,3,0,0
2014-08-16 11:56,Puerto Rico,Health Professional,35-44,NA,Social,3,0,0
2014-08-26 23:09,United States,Health Professional,45-54,NA,Social,3,0,0
2014-08-27 11:49,United States,Health Professional,55-64,NA,Social,2,0,0
2014-08-27 23:16,United States,Health Professional,18-24,NA,Social,4,0,0
2014-07-28 15:01,United States,Health Professional,25-34,NA,Unbranded Search,4,0,0
2014-07-28 22:11,Canada,Health Professional,35-44,NA,Unbranded Search,11,0,0
2014-07-29 11:22,United States,Health Professional,45-54,NA,Unbranded Search,4,0,0
2014-07-29 14:19,United States,Health Professional,55-64,NA,Unbranded Search,2,0,0
2014-07-30 07:31,India,Health Professional,18-24,NA,Unbranded Search,3,0,0
2014-07-30 20:37,United States,Health Professional,25-34,NA,Unbranded Search,10,0,0
2014-07-30 20:37,United States,Health Professional,35-44,NA,Unbranded Search,6,0,0
2014-07-31 12:17,United States,Health Professional,45-54,NA,Unbranded Search,6,0,0
2014-07-31 17:04,United States,Health Professional,55-64,NA,Unbranded Search,12,0,0
2014-08-04 02:35,United States,Health Professional,18-24,NA,Unbranded Search,7,0,0
2014-08-04 15:42,United States,Health Professional,25-34,NA,Unbranded Search,11,0,0
2014-08-05 16:43,United States,Health Professional,35-44,NA,Unbranded Search,4,0,0
2014-08-06 13:32,United States,Health Professional,45-54,NA,Unbranded Search,10,0,0
2014-08-06 15:25,United States,Health Professional,55-64,NA,Unbranded Search,12,0,0
2014-08-08 14:40,United States,Health Professional,18-24,NA,Unbranded Search,6,0,0
2014-08-08 23:02,United States,Health Professional,25-34,NA,Unbranded Search,6,0,0
2014-08-09 22:05,United States,Health Professional,35-44,NA,Unbranded Search,11,0,0
2014-08-11 12:36,United States,Health Professional,45-54,NA,Unbranded Search,11,1,51.91
2014-08-11 13:35,United States,Health Professional,55-64,NA,Unbranded Search,2,0,0
2014-08-11 14:05,United States,Health Professional,18-24,NA,Unbranded Search,4,0,0
2014-08-11 15:20,Canada,Health Professional,25-34,NA,Unbranded Search,2,0,0
2014-08-11 15:30,United States,Health Professional,35-44,NA,Unbranded Search,8,0,0
2014-08-11 18:34,United States,Health Professional,45-54,NA,Unbranded Search,4,0,0
2014-08-12 22:44,United States,Health Professional,55-64,NA,Unbranded Search,10,0,0
2014-08-13 09:24,United States,Health Professional,18-24,NA,Unbranded Search,7,0,0
2014-08-13 15:08,Costa Rica,Health Professional,25-34,NA,Unbranded Search,4,0,0
2014-08-14 13:14,United States,Health Professional,35-44,NA,Unbranded Search,6,0,0
2014-08-15 15:00,United States,Health Professional,45-54,NA,Unbranded Search,5,0,0
2014-08-16 22:30,United States,Health Professional,55-64,NA,Unbranded Search,12,0,0
2014-08-17 22:47,United States,Health Professional,18-24,NA,Unbranded Search,8,0,0
2014-08-17 23:19,United States,Health Professional,25-34,NA,Unbranded Search,3,0,0
2014-08-18 19:06,United States,Health Professional,35-44,NA,Unbranded Search,5,0,0
2014-08-19 05:30,Singapore,Health Professional,45-54,NA,Unbranded Search,4,0,0
2014-08-19 13:26,United States,Health Professional,55-64,NA,Unbranded Search,11,0,0
2014-08-19 14:33,United States,Health Professional,18-24,NA,Unbranded Search,4,0,0
2014-08-19 15:04,United States,Health Professional,25-34,NA,Unbranded Search,9,0,0
2014-08-19 21:10,United States,Health Professional,35-44,NA,Unbranded Search,8,0,0
2014-08-19 22:13,United States,Health Professional,45-54,NA,Unbranded Search,3,0,0
2014-08-20 18:19,United States,Health Professional,55-64,NA,Unbranded Search,10,0,0
2014-08-20 23:22,United States,Health Professional,18-24,NA,Unbranded Search,11,0,0
2014-08-22 13:49,United States,Health Professional,25-34,NA,Unbranded Search,3,0,0
2014-08-22 14:22,United States,Health Professional,35-44,NA,Unbranded Search,4,0,0
2014-08-24 17:12,United States,Health Professional,45-54,NA,Unbranded Search,9,0,0
2014-08-24 21:32,United States,Health Professional,55-64,NA,Unbranded Search,8,0,0
2014-08-25 18:04,United States,Health Professional,18-24,NA,Unbranded Search,5,0,0
2014-08-26 02:47,United States,Health Professional,25-34,NA,Unbranded Search,12,0,0
2014-08-26 06:31,United States,Health Professional,35-44,NA,Unbranded Search,11,0,0
2014-08-26 17:27,Canada,Health Professional,45-54,NA,Unbranded Search,1,0,0
2014-08-27 20:20,United States,Health Professional,18-24,NA,Unbranded Search,9,0,0
2014-08-28 09:17,United States,Health Professional,25-34,NA,Unbranded Search,11,0,0
2014-08-28 15:35,United States,Health Professional,35-44,NA,Unbranded Search,10,0,0
2014-08-29 08:32,United States,Health Professional,45-54,NA,Unbranded Search,5,0,0
2014-08-29 10:50,United States,Health Professional,55-64,NA,Unbranded Search,1,0,0
2014-08-29 22:11,United States,Health Professional,18-24,NA,Unbranded Search,12,0,0
2014-09-02 11:16,United States,Health Professional,25-34,NA,Unbranded Search,2,0,0
2014-09-02 14:19,United States,Health Professional,35-44,NA,Unbranded Search,12,0,0
2014-09-03 01:02,United States,Health Professional,45-54,NA,Unbranded Search,11,0,0
2014-09-03 21:08,United States,Health Professional,55-64,NA,Unbranded Search,5,0,0
2014-09-04 12:44,United States,Health Professional,18-24,NA,Unbranded Search,4,0,0
2014-09-05 12:29,United States,Health Professional,25-34,NA,Unbranded Search,8,0,0
2014-09-05 14:41,United States,Health Professional,35-44,NA,Unbranded Search,4,0,0
2014-09-05 16:04,United States,Health Professional,45-54,NA,Unbranded Search,3,0,0
2014-09-05 16:56,United States,Health Professional,55-64,NA,Unbranded Search,6,0,0
2014-09-07 19:38,United States,Health Professional,18-24,NA,Unbranded Search,3,0,0
2014-09-09 09:57,United States,Health Professional,25-34,NA,Unbranded Search,4,0,0
2014-09-09 16:09,United States,Health Professional,35-44,NA,Unbranded Search,1,0,0
2014-09-09 16:59,United States,Health Professional,45-54,NA,Unbranded Search,10,0,0
2014-09-09 18:23,United States,Health Professional,55-64,NA,Unbranded Search,8,0,0
2014-09-09 20:15,United States,Health Professional,18-24,NA,Unbranded Search,10,0,0
2014-09-10 17:09,United States,Health Professional,25-34,NA,Unbranded Search,5,1,111.05
2014-09-10 17:15,United States,Health Professional,35-44,NA,Unbranded Search,2,0,0
2014-08-05 19:21,United States,Other,18-24,Female,Branded Search,11,0,0
2014-08-09 01:19,United States,Other,18-24,Female,Direct,6,0,0
2014-08-18 06:18,Thailand,Other,18-24,Female,Unbranded Search,11,0,0
2014-08-22 11:21,United States,Other,25-34,Female,Direct,1,0,0
2014-07-31 18:51,United States,Other,25-34,Female,Unbranded Search,7,0,0
2014-08-12 15:00,United States,Other,25-34,Female,Unbranded Search,4,0,0
2014-08-13 10:01,United States,Other,25-34,Female,Unbranded Search,4,0,0
2014-09-01 19:07,United States,Other,25-34,Female,Unbranded Search,3,0,0
2014-07-30 02:02,United States,Other,35-44,Female,Direct,6,0,0
2014-08-13 21:01,United States,Other,35-44,Female,Direct,6,0,0
2014-08-14 15:08,United States,Other,35-44,Female,Direct,3,0,0
2014-08-20 08:50,Australia,Other,35-44,Female,Direct,11,0,0
2014-09-03 10:21,United States,Other,35-44,Female,Direct,6,0,0
2014-07-28 09:51,United States,Other,35-44,Female,Social,8,0,0
2014-08-05 08:11,United States,Other,35-44,Female,Unbranded Search,5,0,0
2014-08-06 14:08,United States,Other,35-44,Female,Unbranded Search,2,0,0
2014-08-10 11:26,United States,Other,35-44,Female,Unbranded Search,12,0,0
2014-08-22 17:06,Canada,Other,35-44,Female,Unbranded Search,10,0,0
2014-08-25 02:52,Canada,Other,35-44,Female,Unbranded Search,5,0,0
2014-08-29 19:40,Canada,Other,35-44,Female,Unbranded Search,4,0,0
2014-07-29 15:43,United States,Other,45-54,Female,Branded Search,5,1,54.53
2014-08-01 15:30,United States,Other,45-54,Female,Branded Search,3,0,0
2014-07-29 20:18,United States,Other,45-54,Female,Direct,7,0,0
2014-08-08 09:38,United States,Other,45-54,Female,Direct,4,0,0
2014-09-03 18:05,United States,Other,45-54,Female,Direct,8,0,0
2014-08-05 21:59,United States,Other,45-54,Female,Social,5,0,0
2014-08-05 14:05,United States,Other,45-54,Female,Unbranded Search,12,1,104.77
2014-08-25 20:37,Canada,Other,45-54,Female,Unbranded Search,12,0,0
2014-08-28 15:20,United States,Other,45-54,Female,Unbranded Search,2,0,0
2014-09-04 11:49,United States,Other,45-54,Female,Unbranded Search,10,0,0
2014-09-10 19:44,Canada,Other,45-54,Female,Unbranded Search,5,0,0
2014-07-31 15:09,United States,Other,55-64,Female,Direct,10,0,0
2014-08-11 00:47,United States,Other,55-64,Female,Direct,1,0,0
2014-09-02 15:59,United States,Other,55-64,Female,Direct,5,0,0
2014-07-30 13:59,United States,Other,55-64,Female,Unbranded Search,4,0,0
2014-08-20 14:17,United States,Other,55-64,Female,Unbranded Search,9,0,0
2014-08-20 09:53,United States,Other,65 or older,Female,Direct,2,0,0
2014-08-27 23:13,United States,Other,65 or older,Female,Direct,3,0,0
2014-08-22 22:43,United States,Other,65 or older,Female,Referred,5,0,0
2014-08-06 11:59,United States,Other,65 or older,Female,Social,1,0,0
2014-09-08 17:35,United States,Other,Less than 18,Female,Social,1,0,0
2014-09-02 04:21,Italy,Other,18-24,Male,Unbranded Search,2,0,0
2014-08-06 13:24,United States,Other,55-64,Male,Referred,6,1,99.61
2014-09-04 12:04,United States,Other,45-54,Female,Direct,11,0,0
2014-08-05 07:27,United States,Other,35-44,Female,Unbranded Search,10,0,0
2014-08-04 11:21,United States,Other,35-44,NA,Branded Search,3,0,0
2014-08-05 13:06,United States,Other,45-54,NA,Branded Search,2,0,0
2014-08-11 14:02,United States,Other,55-64,NA,Branded Search,5,0,0
2014-08-28 08:13,United States,Other,18-24,NA,Branded Search,2,1,129.9
2014-08-28 23:05,United States,Other,25-34,NA,Branded Search,4,0,0
2014-07-29 13:48,United States,Other,45-54,NA,Direct,5,0,0
2014-07-29 18:44,Canada,Other,55-64,NA,Direct,3,0,0
2014-07-30 12:38,United States,Other,18-24,NA,Direct,1,0,0
2014-08-04 17:38,United States,Other,25-34,NA,Direct,2,0,0
2014-08-06 17:28,United States,Other,35-44,NA,Direct,2,0,0
